Frequency,AngleOfAttack,ChordLength, FreeStreamVelocity,SuctionSideDisplacementThickness,ScaledSoundPressureLevel
800,0,3.048,71.3,266.337,126.201
1000,0,3.048,71.3,266.337,125.201
1250,0,3.048,71.3,266.337,125.951
1600,0,3.048,71.3,266.337,127.591
2000,0,3.048,71.3,266.337,127.461
2500,0,3.048,71.3,266.337,125.571
3150,0,3.048,71.3,266.337,125.201
4000,0,3.048,71.3,266.337,123.061
5000,0,3.048,71.3,266.337,121.301
6300,0,3.048,71.3,266.337,119.541
8000,0,3.048,71.3,266.337,117.151
10000,0,3.048,71.3,266.337,115.391
12500,0,3.048,71.3,266.337,112.241
16000,0,3.048,71.3,266.337,108.721
500,0,3.048,55.5,283.081,126.416
630,0,3.048,55.5,283.081,127.696
800,0,3.048,55.5,283.081,128.086
1000,0,3.048,55.5,283.081,126.966
1250,0,3.048,55.5,283.081,126.086
1600,0,3.048,55.5,283.081,126.986
2000,0,3.048,55.5,283.081,126.616
2500,0,3.048,55.5,283.081,124.106
3150,0,3.048,55.5,283.081,123.236
4000,0,3.048,55.5,283.081,121.106
5000,0,3.048,55.5,283.081,119.606
6300,0,3.048,55.5,283.081,117.976
8000,0,3.048,55.5,283.081,116.476
10000,0,3.048,55.5,283.081,113.076
12500,0,3.048,55.5,283.081,111.076
200,0,3.048,39.6,310.138,118.129
250,0,3.048,39.6,310.138,119.319
315,0,3.048,39.6,310.138,122.779
400,0,3.048,39.6,310.138,124.809
500,0,3.048,39.6,310.138,126.959
630,0,3.048,39.6,310.138,128.629
800,0,3.048,39.6,310.138,129.099
1000,0,3.048,39.6,310.138,127.899
1250,0,3.048,39.6,310.138,125.499
1600,0,3.048,39.6,310.138,124.049
2000,0,3.048,39.6,310.138,123.689
2500,0,3.048,39.6,310.138,121.399
3150,0,3.048,39.6,310.138,120.319
4000,0,3.048,39.6,310.138,119.229
5000,0,3.048,39.6,310.138,117.789
6300,0,3.048,39.6,310.138,116.229
8000,0,3.048,39.6,310.138,114.779
10000,0,3.048,39.6,310.138,112.139
12500,0,3.048,39.6,310.138,109.619
200,0,3.048,31.7,331.266,117.195
250,0,3.048,31.7,331.266,118.595
315,0,3.048,31.7,331.266,122.765
400,0,3.048,31.7,331.266,125.045
500,0,3.048,31.7,331.266,127.315
630,0,3.048,31.7,331.266,129.095
800,0,3.048,31.7,331.266,129.235
1000,0,3.048,31.7,331.266,127.365
1250,0,3.048,31.7,331.266,124.355
1600,0,3.048,31.7,331.266,122.365
2000,0,3.048,31.7,331.266,122.375
2500,0,3.048,31.7,331.266,120.755
3150,0,3.048,31.7,331.266,119.135
4000,0,3.048,31.7,331.266,118.145
5000,0,3.048,31.7,331.266,115.645
6300,0,3.048,31.7,331.266,113.775
8000,0,3.048,31.7,331.266,110.515
10000,0,3.048,31.7,331.266,108.265
800,1.5,3.048,71.3,336.729,127.122
1000,1.5,3.048,71.3,336.729,125.992
1250,1.5,3.048,71.3,336.729,125.872
1600,1.5,3.048,71.3,336.729,126.632
2000,1.5,3.048,71.3,336.729,126.642
2500,1.5,3.048,71.3,336.729,124.512
3150,1.5,3.048,71.3,336.729,123.392
4000,1.5,3.048,71.3,336.729,121.762
5000,1.5,3.048,71.3,336.729,119.632
6300,1.5,3.048,71.3,336.729,118.122
8000,1.5,3.048,71.3,336.729,115.372
10000,1.5,3.048,71.3,336.729,113.492
12500,1.5,3.048,71.3,336.729,109.222
16000,1.5,3.048,71.3,336.729,106.582
315,1.5,3.048,39.6,392.107,121.851
400,1.5,3.048,39.6,392.107,124.001
500,1.5,3.048,39.6,392.107,126.661
630,1.5,3.048,39.6,392.107,128.311
800,1.5,3.048,39.6,392.107,128.831
1000,1.5,3.048,39.6,392.107,127.581
1250,1.5,3.048,39.6,392.107,125.211
1600,1.5,3.048,39.6,392.107,122.211
2000,1.5,3.048,39.6,392.107,122.101
2500,1.5,3.048,39.6,392.107,120.981
3150,1.5,3.048,39.6,392.107,119.111
4000,1.5,3.048,39.6,392.107,117.741
5000,1.5,3.048,39.6,392.107,116.241
6300,1.5,3.048,39.6,392.107,114.751
8000,1.5,3.048,39.6,392.107,112.251
10000,1.5,3.048,39.6,392.107,108.991
12500,1.5,3.048,39.6,392.107,106.111
400,3,3.048,71.3,425.727,127.564
500,3,3.048,71.3,425.727,128.454
630,3,3.048,71.3,425.727,129.354
800,3,3.048,71.3,425.727,129.494
1000,3,3.048,71.3,425.727,129.004
1250,3,3.048,71.3,425.727,127.634
1600,3,3.048,71.3,425.727,126.514
2000,3,3.048,71.3,425.727,125.524
2500,3,3.048,71.3,425.727,124.024
3150,3,3.048,71.3,425.727,121.514
4000,3,3.048,71.3,425.727,120.264
5000,3,3.048,71.3,425.727,118.134
6300,3,3.048,71.3,425.727,116.134
8000,3,3.048,71.3,425.727,114.634
10000,3,3.048,71.3,425.727,110.224
400,3,3.048,55.5,452.492,126.159
500,3,3.048,55.5,452.492,128.179
630,3,3.048,55.5,452.492,129.569
800,3,3.048,55.5,452.492,129.949
1000,3,3.048,55.5,452.492,129.329
1250,3,3.048,55.5,452.492,127.329
1600,3,3.048,55.5,452.492,124.439
2000,3,3.048,55.5,452.492,123.069
2500,3,3.048,55.5,452.492,122.439
3150,3,3.048,55.5,452.492,120.189
4000,3,3.048,55.5,452.492,118.689
5000,3,3.048,55.5,452.492,117.309
6300,3,3.048,55.5,452.492,115.679
8000,3,3.048,55.5,452.492,113.799
10000,3,3.048,55.5,452.492,112.169
315,3,3.048,39.6,495.741,123.312
400,3,3.048,39.6,495.741,125.472
500,3,3.048,39.6,495.741,127.632
630,3,3.048,39.6,495.741,129.292
800,3,3.048,39.6,495.741,129.552
1000,3,3.048,39.6,495.741,128.312
1250,3,3.048,39.6,495.741,125.802
1600,3,3.048,39.6,495.741,122.782
2000,3,3.048,39.6,495.741,120.532
2500,3,3.048,39.6,495.741,120.162
3150,3,3.048,39.6,495.741,118.922
4000,3,3.048,39.6,495.741,116.792
5000,3,3.048,39.6,495.741,115.792
6300,3,3.048,39.6,495.741,114.042
8000,3,3.048,39.6,495.741,110.652
315,3,3.048,31.7,529.514,123.118
400,3,3.048,31.7,529.514,125.398
500,3,3.048,31.7,529.514,127.548
630,3,3.048,31.7,529.514,128.698
800,3,3.048,31.7,529.514,128.708
1000,3,3.048,31.7,529.514,126.838
1250,3,3.048,31.7,529.514,124.838
1600,3,3.048,31.7,529.514,122.088
2000,3,3.048,31.7,529.514,120.088
2500,3,3.048,31.7,529.514,119.598
3150,3,3.048,31.7,529.514,118.108
4000,3,3.048,31.7,529.514,115.608
5000,3,3.048,31.7,529.514,113.858
6300,3,3.048,31.7,529.514,109.718
250,4,3.048,71.3,497.773,126.395
315,4,3.048,71.3,497.773,128.175
400,4,3.048,71.3,497.773,129.575
500,4,3.048,71.3,497.773,130.715
630,4,3.048,71.3,497.773,131.615
800,4,3.048,71.3,497.773,131.755
1000,4,3.048,71.3,497.773,131.015
1250,4,3.048,71.3,497.773,129.395
1600,4,3.048,71.3,497.773,126.645
2000,4,3.048,71.3,497.773,124.395
2500,4,3.048,71.3,497.773,123.775
3150,4,3.048,71.3,497.773,121.775
4000,4,3.048,71.3,497.773,119.535
5000,4,3.048,71.3,497.773,117.785
6300,4,3.048,71.3,497.773,116.165
8000,4,3.048,71.3,497.773,113.665
10000,4,3.048,71.3,497.773,110.905
12500,4,3.048,71.3,497.773,107.405
250,4,3.048,39.6,579.636,123.543
315,4,3.048,39.6,579.636,126.843
400,4,3.048,39.6,579.636,128.633
500,4,3.048,39.6,579.636,130.173
630,4,3.048,39.6,579.636,131.073
800,4,3.048,39.6,579.636,130.723
1000,4,3.048,39.6,579.636,128.723
1250,4,3.048,39.6,579.636,126.343
1600,4,3.048,39.6,579.636,123.213
2000,4,3.048,39.6,579.636,120.963
2500,4,3.048,39.6,579.636,120.233
3150,4,3.048,39.6,579.636,118.743
4000,4,3.048,39.6,579.636,115.863
5000,4,3.048,39.6,579.636,113.733
1250,0,2.286,71.3,214.345,128.144
1600,0,2.286,71.3,214.345,129.134
2000,0,2.286,71.3,214.345,128.244
2500,0,2.286,71.3,214.345,128.354
3150,0,2.286,71.3,214.345,127.834
4000,0,2.286,71.3,214.345,125.824
5000,0,2.286,71.3,214.345,124.304
6300,0,2.286,71.3,214.345,122.044
8000,0,2.286,71.3,214.345,118.024
10000,0,2.286,71.3,214.345,118.134
12500,0,2.286,71.3,214.345,117.624
16000,0,2.286,71.3,214.345,114.984
20000,0,2.286,71.3,214.345,114.474
315,0,2.286,55.5,229.336,119.540
400,0,2.286,55.5,229.336,121.660
500,0,2.286,55.5,229.336,123.780
630,0,2.286,55.5,229.336,126.160
800,0,2.286,55.5,229.336,127.530
1000,0,2.286,55.5,229.336,128.290
1250,0,2.286,55.5,229.336,127.910
1600,0,2.286,55.5,229.336,126.790
2000,0,2.286,55.5,229.336,126.540
2500,0,2.286,55.5,229.336,126.540
3150,0,2.286,55.5,229.336,125.160
4000,0,2.286,55.5,229.336,123.410
5000,0,2.286,55.5,229.336,122.410
6300,0,2.286,55.5,229.336,118.410
315,0,2.286,39.6,253.511,121.055
400,0,2.286,39.6,253.511,123.565
500,0,2.286,39.6,253.511,126.195
630,0,2.286,39.6,253.511,128.705
800,0,2.286,39.6,253.511,130.205
1000,0,2.286,39.6,253.511,130.435
1250,0,2.286,39.6,253.511,129.395
1600,0,2.286,39.6,253.511,127.095
2000,0,2.286,39.6,253.511,125.305
2500,0,2.286,39.6,253.511,125.025
3150,0,2.286,39.6,253.511,124.625
4000,0,2.286,39.6,253.511,123.465
5000,0,2.286,39.6,253.511,122.175
6300,0,2.286,39.6,253.511,117.465
315,0,2.286,31.7,27.238,120.595
400,0,2.286,31.7,27.238,123.635
500,0,2.286,31.7,27.238,126.675
630,0,2.286,31.7,27.238,129.465
800,0,2.286,31.7,27.238,130.725
1000,0,2.286,31.7,27.238,130.595
1250,0,2.286,31.7,27.238,128.805
1600,0,2.286,31.7,27.238,125.625
2000,0,2.286,31.7,27.238,123.455
2500,0,2.286,31.7,27.238,123.445
3150,0,2.286,31.7,27.238,123.445
4000,0,2.286,31.7,27.238,122.035
5000,0,2.286,31.7,27.238,120.505
6300,0,2.286,31.7,27.238,116.815
400,2,2.286,71.3,293.031,125.116
500,2,2.286,71.3,293.031,126.486
630,2,2.286,71.3,293.031,127.356
800,2,2.286,71.3,293.031,128.216
1000,2,2.286,71.3,293.031,128.956
1250,2,2.286,71.3,293.031,128.816
1600,2,2.286,71.3,293.031,127.796
2000,2,2.286,71.3,293.031,126.896
2500,2,2.286,71.3,293.031,127.006
3150,2,2.286,71.3,293.031,126.116
4000,2,2.286,71.3,293.031,124.086
5000,2,2.286,71.3,293.031,122.816
6300,2,2.286,71.3,293.031,120.786
8000,2,2.286,71.3,293.031,115.996
10000,2,2.286,71.3,293.031,113.086
400,2,2.286,55.5,313.525,122.292
500,2,2.286,55.5,313.525,124.692
630,2,2.286,55.5,313.525,126.842
800,2,2.286,55.5,313.525,128.492
1000,2,2.286,55.5,313.525,129.002
1250,2,2.286,55.5,313.525,128.762
1600,2,2.286,55.5,313.525,126.752
2000,2,2.286,55.5,313.525,124.612
2500,2,2.286,55.5,313.525,123.862
3150,2,2.286,55.5,313.525,123.742
4000,2,2.286,55.5,313.525,122.232
5000,2,2.286,55.5,313.525,120.472
6300,2,2.286,55.5,313.525,118.712
315,2,2.286,39.6,346.574,120.137
400,2,2.286,39.6,346.574,122.147
500,2,2.286,39.6,346.574,125.157
630,2,2.286,39.6,346.574,127.417
800,2,2.286,39.6,346.574,129.037
1000,2,2.286,39.6,346.574,129.147
1250,2,2.286,39.6,346.574,128.257
1600,2,2.286,39.6,346.574,125.837
2000,2,2.286,39.6,346.574,122.797
2500,2,2.286,39.6,346.574,121.397
3150,2,2.286,39.6,346.574,121.627
4000,2,2.286,39.6,346.574,120.227
5000,2,2.286,39.6,346.574,118.827
6300,2,2.286,39.6,346.574,116.417
315,2,2.286,31.7,372.371,120.147
400,2,2.286,31.7,372.371,123.417
500,2,2.286,31.7,372.371,126.677
630,2,2.286,31.7,372.371,129.057
800,2,2.286,31.7,372.371,130.307
1000,2,2.286,31.7,372.371,130.307
1250,2,2.286,31.7,372.371,128.677
1600,2,2.286,31.7,372.371,125.797
2000,2,2.286,31.7,372.371,123.037
2500,2,2.286,31.7,372.371,121.407
3150,2,2.286,31.7,372.371,121.527
4000,2,2.286,31.7,372.371,120.527
5000,2,2.286,31.7,372.371,118.267
6300,2,2.286,31.7,372.371,115.137
500,4,2.286,71.3,400.603,126.758
630,4,2.286,71.3,400.603,129.038
800,4,2.286,71.3,400.603,130.688
1000,4,2.286,71.3,400.603,131.708
1250,4,2.286,71.3,400.603,131.718
1600,4,2.286,71.3,400.603,129.468
2000,4,2.286,71.3,400.603,126.218
2500,4,2.286,71.3,400.603,124.338
3150,4,2.286,71.3,400.603,124.108
4000,4,2.286,71.3,400.603,121.728
5000,4,2.286,71.3,400.603,121.118
6300,4,2.286,71.3,400.603,118.618
8000,4,2.286,71.3,400.603,112.848
10000,4,2.286,71.3,400.603,113.108
12500,4,2.286,71.3,400.603,114.258
16000,4,2.286,71.3,400.603,112.768
20000,4,2.286,71.3,400.603,109.638
400,4,2.286,55.5,42.862,123.274
500,4,2.286,55.5,42.862,127.314
630,4,2.286,55.5,42.862,129.964
800,4,2.286,55.5,42.862,131.864
1000,4,2.286,55.5,42.862,132.134
1250,4,2.286,55.5,42.862,131.264
1600,4,2.286,55.5,42.862,128.264
2000,4,2.286,55.5,42.862,124.254
2500,4,2.286,55.5,42.862,122.384
3150,4,2.286,55.5,42.862,122.394
4000,4,2.286,55.5,42.862,120.654
5000,4,2.286,55.5,42.862,120.034
6300,4,2.286,55.5,42.862,117.154
8000,4,2.286,55.5,42.862,112.524
315,4,2.286,39.6,473.801,122.229
400,4,2.286,39.6,473.801,123.879
500,4,2.286,39.6,473.801,127.039
630,4,2.286,39.6,473.801,129.579
800,4,2.286,39.6,473.801,130.469
1000,4,2.286,39.6,473.801,129.969
1250,4,2.286,39.6,473.801,128.339
1600,4,2.286,39.6,473.801,125.319
2000,4,2.286,39.6,473.801,121.659
2500,4,2.286,39.6,473.801,119.649
3150,4,2.286,39.6,473.801,120.419
4000,4,2.286,39.6,473.801,119.159
5000,4,2.286,39.6,473.801,117.649
6300,4,2.286,39.6,473.801,114.249
8000,4,2.286,39.6,473.801,113.129
250,4,2.286,31.7,509.068,120.189
315,4,2.286,31.7,509.068,123.609
400,4,2.286,31.7,509.068,126.149
500,4,2.286,31.7,509.068,128.939
630,4,2.286,31.7,509.068,130.349
800,4,2.286,31.7,509.068,130.869
1000,4,2.286,31.7,509.068,129.869
1250,4,2.286,31.7,509.068,128.119
1600,4,2.286,31.7,509.068,125.229
2000,4,2.286,31.7,509.068,122.089
2500,4,2.286,31.7,509.068,120.209
3150,4,2.286,31.7,509.068,120.229
4000,4,2.286,31.7,509.068,118.859
5000,4,2.286,31.7,509.068,115.969
6300,4,2.286,31.7,509.068,112.699
400,5.3,2.286,71.3,51.942,127.700
500,5.3,2.286,71.3,51.942,129.880
630,5.3,2.286,71.3,51.942,131.800
800,5.3,2.286,71.3,51.942,133.480
1000,5.3,2.286,71.3,51.942,134.000
1250,5.3,2.286,71.3,51.942,133.380
1600,5.3,2.286,71.3,51.942,130.460
2000,5.3,2.286,71.3,51.942,125.890
2500,5.3,2.286,71.3,51.942,123.740
3150,5.3,2.286,71.3,51.942,123.120
4000,5.3,2.286,71.3,51.942,120.330
5000,5.3,2.286,71.3,51.942,118.050
6300,5.3,2.286,71.3,51.942,116.920
8000,5.3,2.286,71.3,51.942,114.900
10000,5.3,2.286,71.3,51.942,111.350
250,5.3,2.286,39.6,614.329,127.011
315,5.3,2.286,39.6,614.329,129.691
400,5.3,2.286,39.6,614.329,131.221
500,5.3,2.286,39.6,614.329,132.251
630,5.3,2.286,39.6,614.329,132.011
800,5.3,2.286,39.6,614.329,129.491
1000,5.3,2.286,39.6,614.329,125.581
1250,5.3,2.286,39.6,614.329,125.721
1600,5.3,2.286,39.6,614.329,123.081
2000,5.3,2.286,39.6,614.329,117.911
2500,5.3,2.286,39.6,614.329,116.151
3150,5.3,2.286,39.6,614.329,118.441
4000,5.3,2.286,39.6,614.329,115.801
5000,5.3,2.286,39.6,614.329,115.311
6300,5.3,2.286,39.6,614.329,112.541
200,7.3,2.286,71.3,104.404,138.758
250,7.3,2.286,71.3,104.404,139.918
315,7.3,2.286,71.3,104.404,139.808
400,7.3,2.286,71.3,104.404,139.438
500,7.3,2.286,71.3,104.404,136.798
630,7.3,2.286,71.3,104.404,133.768
800,7.3,2.286,71.3,104.404,130.748
1000,7.3,2.286,71.3,104.404,126.838
1250,7.3,2.286,71.3,104.404,127.358
1600,7.3,2.286,71.3,104.404,125.728
2000,7.3,2.286,71.3,104.404,122.708
2500,7.3,2.286,71.3,104.404,122.088
3150,7.3,2.286,71.3,104.404,120.458
4000,7.3,2.286,71.3,104.404,119.208
5000,7.3,2.286,71.3,104.404,115.298
6300,7.3,2.286,71.3,104.404,115.818
200,7.3,2.286,55.5,111.706,135.234
250,7.3,2.286,55.5,111.706,136.384
315,7.3,2.286,55.5,111.706,136.284
400,7.3,2.286,55.5,111.706,135.924
500,7.3,2.286,55.5,111.706,133.174
630,7.3,2.286,55.5,111.706,130.934
800,7.3,2.286,55.5,111.706,128.444
1000,7.3,2.286,55.5,111.706,125.194
1250,7.3,2.286,55.5,111.706,125.724
1600,7.3,2.286,55.5,111.706,123.354
2000,7.3,2.286,55.5,111.706,120.354
2500,7.3,2.286,55.5,111.706,118.994
3150,7.3,2.286,55.5,111.706,117.134
4000,7.3,2.286,55.5,111.706,117.284
5000,7.3,2.286,55.5,111.706,113.144
6300,7.3,2.286,55.5,111.706,111.534
200,7.3,2.286,39.6,123.481,130.989
250,7.3,2.286,39.6,123.481,131.889
315,7.3,2.286,39.6,123.481,132.149
400,7.3,2.286,39.6,123.481,132.039
500,7.3,2.286,39.6,123.481,130.299
630,7.3,2.286,39.6,123.481,128.929
800,7.3,2.286,39.6,123.481,126.299
1000,7.3,2.286,39.6,123.481,122.539
1250,7.3,2.286,39.6,123.481,123.189
1600,7.3,2.286,39.6,123.481,121.059
2000,7.3,2.286,39.6,123.481,117.809
2500,7.3,2.286,39.6,123.481,116.559
3150,7.3,2.286,39.6,123.481,114.309
4000,7.3,2.286,39.6,123.481,114.079
5000,7.3,2.286,39.6,123.481,111.959
6300,7.3,2.286,39.6,123.481,110.839
200,7.3,2.286,31.7,132.672,128.679
250,7.3,2.286,31.7,132.672,130.089
315,7.3,2.286,31.7,132.672,130.239
400,7.3,2.286,31.7,132.672,130.269
500,7.3,2.286,31.7,132.672,128.169
630,7.3,2.286,31.7,132.672,126.189
800,7.3,2.286,31.7,132.672,123.209
1000,7.3,2.286,31.7,132.672,119.099
1250,7.3,2.286,31.7,132.672,120.509
1600,7.3,2.286,31.7,132.672,119.039
2000,7.3,2.286,31.7,132.672,115.309
2500,7.3,2.286,31.7,132.672,114.709
3150,7.3,2.286,31.7,132.672,113.229
4000,7.3,2.286,31.7,132.672,112.639
5000,7.3,2.286,31.7,132.672,111.029
6300,7.3,2.286,31.7,132.672,110.689
800,0,1.524,71.3,15.988,125.817
1000,0,1.524,71.3,15.988,127.307
1250,0,1.524,71.3,15.988,128.927
1600,0,1.524,71.3,15.988,129.667
2000,0,1.524,71.3,15.988,128.647
2500,0,1.524,71.3,15.988,128.127
3150,0,1.524,71.3,15.988,129.377
4000,0,1.524,71.3,15.988,128.857
5000,0,1.524,71.3,15.988,126.457
6300,0,1.524,71.3,15.988,125.427
8000,0,1.524,71.3,15.988,122.527
10000,0,1.524,71.3,15.988,120.247
12500,0,1.524,71.3,15.988,117.087
16000,0,1.524,71.3,15.988,113.297
500,0,1.524,55.5,172.668,120.573
630,0,1.524,55.5,172.668,123.583
800,0,1.524,55.5,172.668,126.713
1000,0,1.524,55.5,172.668,128.583
1250,0,1.524,55.5,172.668,129.953
1600,0,1.524,55.5,172.668,130.183
2000,0,1.524,55.5,172.668,129.673
2500,0,1.524,55.5,172.668,127.763
3150,0,1.524,55.5,172.668,127.753
4000,0,1.524,55.5,172.668,127.233
5000,0,1.524,55.5,172.668,125.203
6300,0,1.524,55.5,172.668,123.303
8000,0,1.524,55.5,172.668,121.903
10000,0,1.524,55.5,172.668,119.253
12500,0,1.524,55.5,172.668,117.093
16000,0,1.524,55.5,172.668,112.803
500,0,1.524,39.6,193.287,119.513
630,0,1.524,39.6,193.287,124.403
800,0,1.524,39.6,193.287,127.903
1000,0,1.524,39.6,193.287,130.033
1250,0,1.524,39.6,193.287,131.023
1600,0,1.524,39.6,193.287,131.013
2000,0,1.524,39.6,193.287,129.633
2500,0,1.524,39.6,193.287,126.863
3150,0,1.524,39.6,193.287,125.603
4000,0,1.524,39.6,193.287,125.343
5000,0,1.524,39.6,193.287,123.453
6300,0,1.524,39.6,193.287,121.313
8000,0,1.524,39.6,193.287,120.553
10000,0,1.524,39.6,193.287,115.413
500,0,1.524,31.7,209.405,121.617
630,0,1.524,31.7,209.405,125.997
800,0,1.524,31.7,209.405,129.117
1000,0,1.524,31.7,209.405,130.987
1250,0,1.524,31.7,209.405,131.467
